#word	freqcount	cdcount	subtlwf	lg10wf	subtlcd	lg10cd
the	1501908	8388	29449.18	6.1766	100.00	3.9237
to	1156570	8383	22677.84	6.0632	99.94	3.9235
a	1041179	8382	20415.27	6.0175	99.93	3.9234
you	2134713	8381	41857.12	6.3293	99.92	3.9233
and	682780	8379	13387.84	5.8343	99.89	3.9232
it	963712	8377	18896.31	5.9839	99.87	3.9231
s	1057301	8377	20731.39	6.0242	99.87	3.9231
of	590439	8375	11577.24	5.7712	99.85	3.9230
for	351650	8374	6895.10	5.5461	99.83	3.9230
i	2038529	8372	39971.16	6.3093	99.81	3.9229
in	498444	8372	9773.41	5.6976	99.81	3.9229
on	354742	8372	6955.73	5.5499	99.81	3.9229
is	459663	8370	9013.00	5.6624	99.79	3.9228
that	719677	8368	14111.31	5.8571	99.76	3.9227
what	501965	8365	9842.45	5.7007	99.73	3.9225
be	293085	8363	5746.76	5.4670	99.70	3.9224
have	314232	8363	6161.41	5.4973	99.70	3.9224
are	265672	8362	5209.25	5.4243	99.69	3.9224
this	406915	8360	7978.73	5.6095	99.67	3.9223
no	304549	8359	5971.55	5.4837	99.65	3.9222
we	459607	8359	9011.90	5.6624	99.65	3.9222
me	471339	8355	9241.94	5.6733	99.61	3.9220
t	733338	8355	14379.18	5.8653	99.61	3.9220
there	221754	8355	4348.12	5.3459	99.61	3.9220
can	267620	8353	5247.45	5.4275	99.58	3.9219
here	230788	8352	4525.25	5.3632	99.57	3.9218
with	257465	8351	5048.33	5.4107	99.56	3.9218
but	225291	8350	4417.47	5.3527	99.55	3.9217
he	389497	8350	7637.20	5.5905	99.55	3.9217
now	163333	8350	3202.61	5.2131	99.55	3.9217
so	216452	8350	4244.16	5.3354	99.55	3.9217
my	344899	8349	6762.73	5.5377	99.54	3.9217
not	276673	8349	5424.96	5.4420	99.54	3.9217
do	312915	8348	6135.59	5.4954	99.52	3.9216
your	328715	8347	6445.39	5.5168	99.51	3.9216
at	164072	8346	3217.10	5.2150	99.50	3.9215
one	156684	8346	3072.24	5.1950	99.50	3.9215
up	187170	8345	3670.00	5.2722	99.49	3.9215
was	288391	8345	5654.73	5.4600	99.49	3.9215
go	193445	8343	3793.04	5.2866	99.46	3.9214
out	197131	8343	3865.31	5.2948	99.46	3.9214
how	155867	8341	3056.22	5.1928	99.44	3.9213
like	203947	8341	3998.96	5.3095	99.44	3.9213
if	180610	8340	3541.37	5.2567	99.43	3.9212
know	291780	8340	5721.18	5.4651	99.43	3.9212
just	242206	8338	4749.14	5.3842	99.40	3.9211
get	233772	8336	4583.76	5.3688	99.38	3.9210
come	160190	8335	3140.98	5.2046	99.37	3.9210
they	209250	8332	4102.94	5.3207	99.33	3.9208
don	321085	8326	6295.78	5.5066	99.26	3.9205
see	130393	8326	2556.73	5.1153	99.26	3.9205
about	185206	8321	3631.49	5.2677	99.20	3.9202
right	204428	8320	4008.39	5.3105	99.19	3.9202
who	113370	8318	2222.94	5.0545	99.17	3.9201
good	133117	8316	2610.14	5.1242	99.14	3.9200
when	103739	8312	2034.10	5.0159	99.09	3.9198
time	99890	8308	1958.63	4.9995	99.05	3.9195
let	123381	8307	2419.24	5.0913	99.03	3.9195
did	119410	8306	2341.37	5.0770	99.02	3.9194
from	103992	8306	2039.06	5.0170	99.02	3.9194
want	140718	8305	2759.18	5.1484	99.01	3.9194
think	137261	8301	2691.39	5.1376	98.96	3.9192
take	96443	8299	1891.04	4.9843	98.94	3.9191
why	114687	8299	2248.76	5.0595	98.94	3.9191
m	343245	8291	6730.29	5.5356	98.84	3.9187
look	99311	8290	1947.27	4.9970	98.83	3.9186
an	95071	8285	1864.14	4.9781	98.77	3.9183
all	263255	8279	5161.86	5.4204	98.70	3.9180
back	102467	8273	2009.16	5.0106	98.63	3.9177
some	88089	8269	1727.24	4.9449	98.58	3.9175
re	311072	8268	6099.45	5.4929	98.57	3.9175
would	90162	8268	1767.88	4.9550	98.57	3.9175
been	88573	8261	1736.73	4.9473	98.49	3.9171
where	93341	8260	1830.22	4.9701	98.47	3.9170
then	75966	8255	1489.53	4.8806	98.41	3.9168
him	177710	8254	3484.51	5.2497	98.40	3.9167
got	168631	8249	3306.49	5.2269	98.34	3.9165
as	113068	8239	2217.02	5.0533	98.22	3.9159
or	86970	8239	1705.29	4.9394	98.22	3.9159
going	108288	8238	2123.29	5.0346	98.21	3.9159
were	84804	8237	1662.82	4.9284	98.20	3.9158
could	83109	8233	1629.59	4.9197	98.15	3.9156
say	83629	8231	1639.78	4.9224	98.13	3.9155
something	76508	8231	1500.16	4.8837	98.13	3.9155
had	85472	8224	1675.92	4.9318	98.04	3.9151
way	72661	8222	1424.73	4.8613	98.02	3.9150
make	70775	8215	1387.75	4.8499	97.94	3.9147
by	68364	8203	1340.47	4.8348	97.79	3.9140
too	69950	8200	1371.57	4.8448	97.76	3.9139
us	86478	8199	1695.65	4.9369	97.75	3.9138
his	108364	8186	2124.78	5.0349	97.59	3.9131
ll	224097	8180	4394.06	5.3504	97.52	3.9128
more	66228	8177	1298.59	4.8210	97.48	3.9126
over	67488	8171	1323.29	4.8292	97.41	3.9123
didn	80623	8163	1580.84	4.9065	97.32	3.9119
them	90720	8162	1778.82	4.9577	97.31	3.9118
down	76004	8161	1490.27	4.8808	97.29	3.9118
never	69490	8158	1362.55	4.8419	97.26	3.9116
well	152523	8146	2990.65	5.1833	97.11	3.9110
yes	101835	8140	1996.76	5.0079	97.04	3.9107
d	101335	8138	1986.96	5.0058	97.02	3.9106
should	54159	8129	1061.94	4.7337	96.91	3.9101
will	108306	8129	2123.65	5.0347	96.91	3.9101
she	190377	8126	3732.88	5.2796	96.88	3.9099
tell	87949	8121	1724.49	4.9442	96.82	3.9097
only	55269	8118	1083.71	4.7425	96.78	3.9095
our	71425	8113	1400.49	4.8539	96.72	3.9092
give	59559	8088	1167.82	4.7750	96.42	3.9079
her	144627	8076	2835.82	5.1603	96.28	3.9073
need	66040	8076	1294.90	4.8198	96.28	3.9073
has	57830	8074	1133.92	4.7622	96.26	3.9071
little	73766	8072	1446.39	4.8679	96.23	3.9070
off	60155	8058	1179.51	4.7793	96.07	3.9063
thing	55522	8058	1088.67	4.7445	96.07	3.9063
man	94133	8054	1845.75	4.9737	96.02	3.9061
any	56068	8049	1099.37	4.7487	95.96	3.9058
mean	63443	8032	1243.98	4.8024	95.76	3.9049
much	49636	8027	973.25	4.6958	95.70	3.9046
said	56531	8026	1108.45	4.7523	95.68	3.9046
oh	167781	8019	3289.82	5.2247	95.60	3.9042
sure	56091	8007	1099.82	4.7489	95.46	3.9035
am	56438	7983	1106.63	4.7516	95.17	3.9022
two	54384	7966	1066.35	4.7355	94.97	3.9013
really	76508	7956	1500.16	4.8837	94.85	3.9007
doing	52492	7954	1029.25	4.7201	94.83	3.9006
even	44672	7931	875.92	4.6500	94.55	3.8994
anything	46270	7929	907.25	4.6653	94.53	3.8993
sorry	59566	7923	1167.96	4.7750	94.46	3.8989
before	40501	7914	794.14	4.6075	94.35	3.8985
because	54622	7910	1071.02	4.7374	94.30	3.8982
people	56252	7889	1102.98	4.7501	94.05	3.8971
into	43074	7876	844.59	4.6342	93.90	3.8964
very	63304	7863	1241.25	4.8014	93.74	3.8956
first	42869	7861	840.57	4.6322	93.72	3.8955
again	40428	7852	792.71	4.6067	93.61	3.8950
nothing	43534	7851	853.61	4.6388	93.60	3.8950
these	46104	7850	904.00	4.6637	93.59	3.8949
put	42251	7840	828.45	4.6258	93.47	3.8944
please	56149	7837	1100.96	4.7493	93.43	3.8942
thought	41232	7829	808.47	4.6152	93.34	3.8938
better	40494	7814	794.00	4.6074	93.16	3.8929
still	40225	7811	788.73	4.6045	93.12	3.8928
thank	56877	7790	1115.24	4.7549	92.87	3.8916
yeah	152262	7790	2985.53	5.1826	92.87	3.8916
than	37679	7770	738.80	4.5761	92.63	3.8905
help	46977	7745	921.12	4.6719	92.33	3.8891
other	37505	7738	735.39	4.5741	92.25	3.8887
maybe	47249	7737	926.45	4.6744	92.24	3.8886
last	36878	7731	723.10	4.5668	92.17	3.8883
day	40893	7727	801.82	4.6117	92.12	3.8881
those	38404	7712	753.02	4.5844	91.94	3.8872
wait	42343	7709	830.25	4.6268	91.91	3.8871
find	42379	7687	830.96	4.6272	91.64	3.8858
work	40699	7670	798.02	4.6096	91.44	3.8849
does	34002	7665	666.71	4.5315	91.38	3.8846
after	34812	7645	682.59	4.5417	91.14	3.8834
talk	43605	7619	855.00	4.6395	90.83	3.8820
life	40629	7596	796.65	4.6088	90.56	3.8806
long	34433	7581	675.16	4.5370	90.38	3.8798
away	37276	7580	730.90	4.5714	90.37	3.8797
